source_id,RA,DEC,size_x,size_y,imsize
0,158.24775801329727,56.744801055339096,1650,1085,0.4
1,159.73402279702591,57.8796490415251,150,150,0.15
2,159.3221392426565,59.85276685864388,150,150,0.17
3,159.17796729381104,59.617137813410466,150,150,0.2
4,157.98017328,58.10478772,430,455,0.2
5,163.3552297593914,56.31145106759849,180,180,0.2
6,163.11551591875937,56.59955513731701,250,300,0.17
7,164.41630815,56.82856432,750,1000,0.4
8,160.63027750342786,59.455199499678194,,,0.2
9,157.53470321641848,58.44900951917286,,,0.2
10,161.28845168579667,56.52736605596551,,,0.2
11,159.1130409942542,59.227694229010076,,,0.2
12,158.85264553024012,57.097385398554295,,,0.2
